OBJECT_NAME,OBJECT_ID,epoch_iso,mm_rev_day,ecc,inc_deg,raan_deg,argp_deg,mean_anom_deg,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,norad,ELEMENT_SET_NO,REV_AT_EPOCH,bstar,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,"Invalid query: ""GROUP=rocket-bodies&FORMAT=csv"" (GROUP=rocket-bodies not found)",label
STARLINK-34914,2025-176F,2025-09-04T22:00:03.000096,15.53972427,0.00012037,53.1593,300.3455,80.5821,197.9798,0.0,U,65203,999.0,465.0,-0.026016693,-0.01546067,0.0,,Payload
STARLINK-34787,2025-176G,2025-09-04T22:00:03.000096,15.53972231,0.00011804,53.159,300.3412,77.1266,203.3516,0.0,U,65204,999.0,465.0,-0.026006579,-0.01545504,0.0,,Payload
STARLINK-34796,2025-176H,2025-09-04T22:00:03.000096,15.53969989,0.00010481,53.1592,300.3298,77.3525,208.8781,0.0,U,65205,999.0,465.0,-0.025975913,-0.01543684,0.0,,Payload
STARLINK-34763,2025-176J,2025-09-04T22:00:03.000096,15.53972338,0.00011797,53.1593,300.3256,75.5627,212.5832,0.0,U,65206,999.0,465.0,-0.026029406,-0.01546737,0.0,,Payload
STARLINK-34901,2025-176K,2025-09-04T22:00:03.000096,15.53970944,0.00011515,53.1591,300.3375,78.274,204.1223,0.0,U,65207,999.0,465.0,-0.025983682,-0.01544194,0.0,,Payload
STARLINK-34841,2025-176L,2025-09-04T22:00:03.000096,15.539742,0.00011175,53.1591,300.3338,75.3396,208.971,0.0,U,65208,999.0,465.0,-0.026059829,-0.01548443,0.0,,Payload
STARLINK-34976,2025-176M,2025-09-04T22:00:03.000096,15.53969661,0.00011677,53.1595,300.3212,78.4052,211.6588,0.0,U,65209,999.0,465.0,-0.025952878,-0.01542477,0.0,,Payload
STARLINK-34941,2025-176N,2025-09-04T22:00:03.000096,15.53971577,0.00011506,53.1596,300.3168,76.4875,215.4921,0.0,U,65210,999.0,465.0,-0.025996103,-0.01544894,0.0,,Payload
STARLINK-34847,2025-176P,2025-09-04T22:00:03.000096,15.51292422,0.00013451,53.1596,300.3369,77.1268,204.0964,0.0,U,65211,999.0,465.0,-0.028063083,-0.01515918,0.0,,Payload
STARLINK-34897,2025-176Q,2025-09-04T22:00:03.000096,15.5129502,0.00013242,53.1594,300.3333,80.3106,202.828,0.0,U,65212,999.0,465.0,-0.028151589,-0.01520371,0.0,,Payload
